Crypto,Date,Open,High,Low,Close
LTC,5/31/21,173.4,187.01,164.09,182.2
LTC,5/30/21,161.62,181.04,156.01,174.14
LTC,5/29/21,175.92,188.43,157.9,161.41
LTC,5/28/21,192.5,198.47,165.97,176.08
LTC,5/27/21,194.95,208.43,180.78,192.42
LTC,5/26/21,173.74,204.14,172.59,194.46
LTC,5/25/21,178.41,194.6,167.64,173.55
LTC,5/24/21,137.93,182.99,137.34,178.02
LTC,5/23/21,174.5,176.14,118.93,138.04
LTC,5/22/21,168.8,184.47,157.0,174.46
LTC,5/21/21,208.03,219.25,167.8,168.5
LTC,5/20/21,199.68,225.01,167.49,207.98
LTC,5/19/21,294.97,300.42,140.22,198.49
LTC,5/18/21,289.52,318.17,274.26,294.51
LTC,5/17/21,284.54,296.94,262.38,291.25
LTC,5/16/21,309.22,323.68,282.1,283.39
LTC,5/15/21,318.79,331.78,296.86,309.58
LTC,5/14/21,305.49,339.28,300.26,318.89
LTC,5/13/21,356.98,359.99,292.44,305.38
LTC,5/12/21,373.35,394.06,338.62,357.44
LTC,5/11/21,359.8,375.51,345.76,373.64
LTC,5/10/21,361.8,413.22,341.31,360.8
LTC,5/9/21,346.04,369.34,335.13,361.52
LTC,5/8/21,348.97,356.67,334.02,345.93
LTC,5/7/21,329.4,372.7,329.4,348.97
LTC,5/6/21,347.75,364.71,323.32,329.26
LTC,5/5/21,316.07,359.97,301.42,347.75
LTC,5/4/21,289.85,325.54,274.29,314.84
LTC,5/3/21,271.07,299.7,267.26,290.18
LTC,5/2/21,273.13,278.34,265.23,271.07
LTC,5/1/21,266.68,274.99,265.08,273.0
LTC,4/30/21,250.85,271.09,250.11,266.52
LTC,4/29/21,253.28,262.86,248.96,250.85
LTC,4/28/21,260.23,266.74,248.43,253.28
LTC,4/27/21,240.33,263.04,237.56,261.16
LTC,4/26/21,217.79,248.34,211.88,240.62
LTC,4/25/21,231.78,235.76,217.89,218.83
LTC,4/24/21,236.03,241.59,221.11,231.16
LTC,4/23/21,255.5,259.2,211.85,235.65
LTC,4/22/21,266.11,289.44,251.95,257.7
LTC,4/21/21,266.76,276.71,251.3,265.08
LTC,4/20/21,271.71,272.72,234.73,266.72
LTC,4/19/21,273.65,282.29,251.38,270.46
LTC,4/18/21,313.71,321.71,233.86,273.51
LTC,4/17/21,310.2,335.25,297.5,314.3
LTC,4/16/21,286.98,316.7,267.8,309.41
LTC,4/15/21,266.98,288.57,266.34,287.62
LTC,4/14/21,266.42,282.8,257.11,266.98
LTC,4/13/21,244.69,273.14,243.52,266.42
LTC,4/12/21,250.29,258.51,240.37,244.36
LTC,4/11/21,237.79,263.1,237.77,250.86
LTC,4/10/21,223.42,249.41,218.7,238.59
LTC,4/9/21,223.73,228.98,221.62,223.4
LTC,4/8/21,220.3,227.38,217.17,223.72
LTC,4/7/21,242.94,243.26,211.96,219.99
LTC,4/6/21,217.54,244.28,215.34,242.99
LTC,4/5/21,201.23,220.72,198.05,217.54
LTC,4/4/21,202.46,204.72,192.59,201.23
LTC,4/3/21,206.64,217.64,200.19,202.9
LTC,4/2/21,201.2,211.52,199.8,207.16
LTC,4/1/21,195.81,204.96,194.31,201.28
LTC,3/31/21,194.5,198.9,187.65,195.72
LTC,3/30/21,194.04,199.97,190.26,194.45
LTC,3/29/21,180.89,197.42,180.89,193.9
LTC,3/28/21,183.34,187.19,180.08,180.89
LTC,3/27/21,182.98,184.51,177.76,183.34
LTC,3/26/21,174.39,183.04,171.5,182.91
LTC,3/25/21,187.43,188.09,167.79,174.38
LTC,3/24/21,183.88,196.89,180.63,188.18
LTC,3/23/21,185.11,189.5,182.95,183.54
LTC,3/22/21,198.23,198.75,186.48,186.6
LTC,3/21/21,201.28,203.38,192.37,198.03
LTC,3/20/21,201.05,206.15,199.0,201.28
LTC,3/19/21,199.39,204.9,195.98,201.1
LTC,3/18/21,202.9,208.01,199.4,199.6
LTC,3/17/21,199.75,206.54,194.54,202.91
LTC,3/16/21,202.84,205.01,191.28,199.97
LTC,3/15/21,218.85,222.26,197.79,202.84
LTC,3/14/21,226.0,228.45,215.1,218.87
LTC,3/13/21,223.39,229.92,212.94,225.83
LTC,3/12/21,200.79,223.39,198.77,223.15
LTC,3/11/21,203.71,205.09,191.24,200.8
LTC,3/10/21,199.31,208.14,191.91,203.23
LTC,3/9/21,189.15,203.34,188.48,199.17
LTC,3/8/21,187.06,195.0,180.12,188.82
LTC,3/7/21,180.69,189.6,180.65,187.06
LTC,3/6/21,180.32,184.58,174.71,180.42
LTC,3/5/21,179.11,182.0,168.83,180.34
LTC,3/4/21,189.47,194.34,177.01,179.1
LTC,3/3/21,172.67,196.26,172.53,189.3
LTC,3/2/21,172.35,185.0,170.81,172.9
LTC,3/1/21,165.83,176.39,163.3,172.35
LTC,2/28/21,173.97,173.97,153.16,165.83
LTC,2/27/21,167.55,180.31,166.0,173.97
LTC,2/26/21,185.67,190.33,162.93,167.29
LTC,2/25/21,176.8,204.9,172.14,186.19
LTC,2/24/21,173.66,189.54,169.35,177.23
LTC,2/23/21,209.32,209.81,159.48,173.76
LTC,2/22/21,226.79,228.25,155.0,209.77
LTC,2/21/21,232.31,233.53,217.74,226.79
LTC,2/20/21,238.1,247.05,229.29,232.36
LTC,2/19/21,229.54,241.74,220.55,238.0
LTC,2/18/21,236.2,238.86,221.38,229.41
LTC,2/17/21,206.23,237.0,203.56,236.74
LTC,2/16/21,211.71,221.94,200.45,206.47
LTC,2/15/21,218.37,220.24,188.59,211.84
LTC,2/14/21,221.87,230.72,209.01,218.66
LTC,2/13/21,195.13,227.32,192.37,221.97
LTC,2/12/21,182.86,198.09,177.38,195.09
LTC,2/11/21,180.12,193.03,176.29,182.89
LTC,2/10/21,176.77,194.92,171.6,180.12
LTC,2/9/21,164.45,178.29,163.32,177.26
LTC,2/8/21,150.71,168.04,148.13,164.57
LTC,2/7/21,158.08,159.24,145.6,150.7
LTC,2/6/21,152.99,164.11,150.29,158.28
LTC,2/5/21,148.6,156.8,143.81,153.02
LTC,2/4/21,155.08,158.66,142.44,148.6
LTC,2/3/21,142.21,156.17,142.14,155.0
LTC,2/2/21,131.96,145.92,131.86,142.17
LTC,2/1/21,127.73,136.42,126.03,131.78
LTC,1/31/21,134.21,135.0,125.85,127.72
LTC,1/30/21,136.28,138.76,128.48,134.21
LTC,1/29/21,133.15,145.49,131.75,136.28
LTC,1/28/21,123.97,133.16,121.04,133.16
LTC,1/27/21,133.49,136.44,118.23,123.96
LTC,1/26/21,138.58,139.62,128.5,133.82
LTC,1/25/21,138.27,147.6,136.99,138.55
LTC,1/24/21,139.52,142.54,134.08,138.25
LTC,1/23/21,138.27,143.16,135.24,139.52
LTC,1/22/21,131.95,141.83,122.68,138.31
LTC,1/21/21,146.66,150.22,129.96,132.08
LTC,1/20/21,158.62,159.88,138.83,146.66
LTC,1/19/21,149.1,166.08,148.72,158.84
LTC,1/18/21,145.43,154.63,138.48,149.1
LTC,1/17/21,144.05,146.92,136.62,145.43
LTC,1/16/21,141.05,152.57,139.6,143.51
LTC,1/15/21,149.94,155.29,130.86,141.05
LTC,1/14/21,145.35,156.62,143.5,149.92
LTC,1/13/21,137.09,145.54,125.87,145.25
LTC,1/12/21,131.1,146.8,128.12,137.0
LTC,1/11/21,169.08,172.53,113.66,131.26
LTC,1/10/21,178.06,185.97,162.29,169.08
LTC,1/9/21,169.4,177.85,163.71,177.73
LTC,1/8/21,173.44,181.59,151.05,169.23
LTC,1/7/21,165.55,181.04,162.5,172.96
LTC,1/6/21,158.14,169.9,155.5,165.56
LTC,1/5/21,150.41,160.0,146.79,158.1
LTC,1/4/21,155.89,174.11,141.0,150.4
LTC,1/3/21,134.76,159.76,134.1,155.9
LTC,1/2/21,125.62,140.91,123.69,134.69
LTC,1/1/21,124.22,133.85,123.21,125.7
LTC,12/31/20,127.58,130.28,122.21,124.22
LTC,12/30/20,126.31,132.77,123.01,127.57
LTC,12/29/20,129.09,131.21,120.04,126.31
LTC,12/28/20,127.07,136.88,126.33,129.07
LTC,12/27/20,132.8,139.18,122.42,127.0
LTC,12/26/20,121.29,134.85,121.09,132.58
LTC,12/25/20,106.95,124.79,106.95,121.38
LTC,12/24/20,103.36,109.61,96.36,107.02
LTC,12/23/20,108.77,117.11,100.71,103.36
LTC,12/22/20,107.06,113.43,98.63,108.73
LTC,12/21/20,113.15,118.49,101.56,107.08
LTC,12/20/20,123.49,123.98,113.31,113.97
LTC,12/19/20,107.61,124.4,105.55,123.48
LTC,12/18/20,101.78,112.81,99.51,107.6
LTC,12/17/20,91.37,109.78,91.04,101.54
LTC,12/16/20,82.0,91.72,78.83,91.37
LTC,12/15/20,81.36,84.9,80.53,81.99
LTC,12/14/20,82.23,82.92,79.22,81.36
LTC,12/13/20,76.94,84.24,75.68,82.24
LTC,12/12/20,73.02,77.6,71.92,76.97
LTC,12/11/20,75.04,75.44,70.14,73.02
LTC,12/10/20,77.47,78.19,73.41,75.04
LTC,12/9/20,77.78,78.31,72.42,77.58
LTC,12/8/20,83.2,84.81,76.89,77.78
LTC,12/7/20,82.85,86.72,81.84,83.2
LTC,12/6/20,82.67,85.19,80.44,82.84
LTC,12/5/20,81.62,84.42,78.64,82.67
LTC,12/4/20,88.91,89.83,80.96,81.61
LTC,12/3/20,89.85,91.32,85.76,88.92
LTC,12/1/20,86.6,92.9,80.6,91.0
LTC,11/30/20,79.83,88.13,76.77,86.6
LTC,11/29/20,73.38,81.04,71.65,79.84
LTC,11/28/20,68.9,74.93,68.22,73.83
LTC,11/27/20,69.4,73.5,65.28,68.85
LTC,11/26/20,83.72,83.72,64.75,69.15
LTC,11/25/20,88.49,90.67,82.59,83.81
LTC,11/24/20,87.95,93.95,86.54,88.49
LTC,11/23/20,85.19,90.75,81.0,87.93
LTC,11/22/20,86.21,87.9,78.16,85.34
LTC,11/21/20,83.8,87.03,80.74,86.24
LTC,11/20/20,81.21,85.69,80.22,83.81
LTC,11/19/20,73.4,83.51,71.67,81.08
LTC,11/18/20,74.55,77.11,68.54,73.5
LTC,11/17/20,71.0,75.91,70.51,74.55
LTC,11/16/20,61.88,72.51,61.12,70.76
LTC,11/15/20,63.01,64.43,61.52,61.85
LTC,11/14/20,65.71,66.26,61.82,63.01
LTC,11/13/20,58.98,66.61,58.98,65.67
LTC,11/12/20,59.61,60.52,57.81,58.98
LTC,11/11/20,58.31,60.59,57.93,59.63
LTC,11/10/20,59.32,59.62,57.14,58.3
LTC,11/9/20,60.27,61.77,57.53,59.32
LTC,11/8/20,59.03,62.03,58.27,60.27
LTC,11/7/20,61.33,64.83,57.12,59.03
