Crypto,Date,Open,High,Low,Close
XRP,10/8/20,0.25,0.25,0.24,0.25
XRP,10/7/20,0.24,0.25,0.24,0.25
XRP,10/6/20,0.25,0.26,0.24,0.24
XRP,10/5/20,0.25,0.25,0.25,0.25
XRP,10/4/20,0.23,0.25,0.23,0.25
XRP,10/3/20,0.23,0.23,0.23,0.23
XRP,10/2/20,0.24,0.24,0.23,0.23
XRP,10/1/20,0.24,0.24,0.23,0.24
XRP,9/30/20,0.24,0.24,0.24,0.24
XRP,9/29/20,0.25,0.25,0.24,0.24
XRP,9/28/20,0.24,0.25,0.24,0.25
XRP,9/27/20,0.24,0.24,0.24,0.24
XRP,9/26/20,0.24,0.25,0.24,0.24
XRP,9/25/20,0.23,0.24,0.23,0.24
XRP,9/24/20,0.22,0.23,0.22,0.23
XRP,9/23/20,0.23,0.24,0.22,0.22
XRP,9/22/20,0.23,0.23,0.23,0.23
XRP,9/21/20,0.24,0.25,0.23,0.23
XRP,9/20/20,0.25,0.25,0.24,0.25
XRP,9/19/20,0.25,0.25,0.25,0.25
XRP,9/18/20,0.25,0.26,0.25,0.25
XRP,9/17/20,0.24,0.26,0.24,0.25
XRP,9/16/20,0.24,0.25,0.23,0.24
XRP,9/15/20,0.25,0.25,0.24,0.24
XRP,9/14/20,0.24,0.25,0.24,0.25
XRP,9/13/20,0.25,0.25,0.24,0.24
XRP,9/12/20,0.24,0.25,0.24,0.25
XRP,9/11/20,0.24,0.24,0.24,0.24
XRP,9/10/20,0.24,0.25,0.24,0.24
XRP,9/9/20,0.23,0.24,0.23,0.24
XRP,9/8/20,0.24,0.24,0.23,0.23
XRP,9/7/20,0.24,0.24,0.23,0.24
XRP,9/6/20,0.24,0.24,0.23,0.24
XRP,9/5/20,0.26,0.26,0.23,0.24
XRP,9/4/20,0.27,0.27,0.24,0.26
XRP,9/3/20,0.28,0.28,0.26,0.27
XRP,9/2/20,0.29,0.3,0.27,0.28
XRP,9/1/20,0.28,0.3,0.28,0.29
XRP,8/31/20,0.28,0.28,0.28,0.28
XRP,8/30/20,0.28,0.28,0.27,0.28
XRP,8/29/20,0.27,0.28,0.27,0.28
XRP,8/28/20,0.26,0.27,0.26,0.27
XRP,8/27/20,0.28,0.28,0.26,0.26
XRP,8/26/20,0.27,0.28,0.27,0.28
XRP,8/25/20,0.29,0.29,0.27,0.27
XRP,8/24/20,0.29,0.29,0.28,0.29
XRP,8/23/20,0.28,0.29,0.28,0.29
XRP,8/22/20,0.28,0.28,0.27,0.28
XRP,8/21/20,0.29,0.3,0.28,0.28
XRP,8/20/20,0.29,0.29,0.28,0.29
XRP,8/19/20,0.31,0.31,0.28,0.29
XRP,8/18/20,0.33,0.33,0.3,0.31
XRP,8/17/20,0.3,0.33,0.3,0.33
XRP,8/16/20,0.3,0.3,0.29,0.3
XRP,8/15/20,0.3,0.31,0.29,0.3
XRP,8/14/20,0.29,0.31,0.29,0.3
XRP,8/13/20,0.28,0.29,0.27,0.28
XRP,8/12/20,0.28,0.29,0.27,0.28
XRP,8/11/20,0.29,0.31,0.27,0.28
XRP,8/10/20,0.29,0.3,0.29,0.3
XRP,8/9/20,0.29,0.3,0.28,0.29
XRP,8/8/20,0.29,0.3,0.29,0.29
XRP,8/7/20,0.31,0.31,0.28,0.29
XRP,8/6/20,0.3,0.31,0.3,0.31
XRP,8/5/20,0.3,0.31,0.29,0.3
XRP,8/4/20,0.31,0.32,0.29,0.3
XRP,8/3/20,0.28,0.32,0.28,0.31
XRP,8/2/20,0.29,0.33,0.25,0.28
XRP,8/1/20,0.25,0.3,0.25,0.29
XRP,7/31/20,0.25,0.26,0.24,0.25
XRP,7/30/20,0.24,0.25,0.24,0.25
XRP,7/29/20,0.23,0.24,0.23,0.24
XRP,7/28/20,0.23,0.23,0.22,0.23
XRP,7/27/20,0.22,0.23,0.21,0.23
XRP,7/26/20,0.22,0.23,0.21,0.22
XRP,7/25/20,0.21,0.22,0.2,0.22
XRP,7/24/20,0.21,0.21,0.2,0.21
XRP,7/23/20,0.2,0.21,0.2,0.21
XRP,7/22/20,0.2,0.2,0.2,0.2
XRP,7/21/20,0.2,0.2,0.19,0.2
XRP,7/20/20,0.2,0.2,0.19,0.2
XRP,7/19/20,0.2,0.2,0.2,0.2
XRP,7/18/20,0.19,0.2,0.19,0.2
XRP,7/17/20,0.19,0.2,0.19,0.19
XRP,7/16/20,0.2,0.2,0.19,0.19
XRP,7/15/20,0.2,0.2,0.2,0.2
XRP,7/14/20,0.2,0.2,0.2,0.2
XRP,7/13/20,0.2,0.21,0.19,0.2
XRP,7/12/20,0.2,0.2,0.2,0.2
XRP,7/11/20,0.2,0.2,0.2,0.2
XRP,7/10/20,0.2,0.2,0.19,0.2
XRP,7/9/20,0.2,0.21,0.2,0.2
XRP,7/8/20,0.18,0.2,0.18,0.2
XRP,7/7/20,0.19,0.19,0.18,0.18
XRP,7/6/20,0.18,0.19,0.17,0.19
XRP,7/5/20,0.18,0.18,0.17,0.18
XRP,7/4/20,0.18,0.18,0.18,0.18
XRP,7/3/20,0.17,0.18,0.17,0.18
XRP,7/2/20,0.18,0.18,0.17,0.17
XRP,7/1/20,0.18,0.18,0.17,0.18
XRP,6/30/20,0.18,0.18,0.17,0.18
XRP,6/29/20,0.18,0.18,0.18,0.18
XRP,6/28/20,0.17,0.18,0.17,0.18
XRP,6/27/20,0.18,0.18,0.17,0.17
XRP,6/26/20,0.18,0.19,0.18,0.18
XRP,6/25/20,0.18,0.18,0.18,0.18
XRP,6/24/20,0.19,0.19,0.18,0.18
XRP,6/23/20,0.19,0.19,0.19,0.19
XRP,6/22/20,0.19,0.19,0.19,0.19
XRP,6/21/20,0.19,0.19,0.19,0.19
XRP,6/20/20,0.19,0.19,0.18,0.19
XRP,6/19/20,0.19,0.19,0.19,0.19
XRP,6/18/20,0.19,0.19,0.19,0.19
XRP,6/17/20,0.19,0.2,0.19,0.19
XRP,6/16/20,0.19,0.19,0.19,0.19
XRP,6/15/20,0.19,0.19,0.18,0.19
XRP,6/14/20,0.19,0.19,0.19,0.19
XRP,6/13/20,0.19,0.19,0.19,0.19
XRP,6/12/20,0.19,0.19,0.19,0.19
XRP,6/11/20,0.2,0.2,0.18,0.19
XRP,6/10/20,0.2,0.26,0.2,0.2
XRP,6/9/20,0.2,0.21,0.2,0.2
XRP,6/8/20,0.2,0.2,0.2,0.2
XRP,6/7/20,0.2,0.2,0.2,0.2
XRP,6/6/20,0.2,0.2,0.2,0.2
XRP,6/5/20,0.2,0.21,0.2,0.2
XRP,6/4/20,0.2,0.21,0.2,0.2
XRP,6/3/20,0.2,0.2,0.2,0.2
XRP,6/2/20,0.21,0.21,0.2,0.2
XRP,6/1/20,0.21,0.21,0.2,0.21
XRP,5/31/20,0.2,0.21,0.2,0.21
XRP,5/30/20,0.2,0.21,0.2,0.2
XRP,5/29/20,0.2,0.2,0.2,0.2
XRP,5/28/20,0.2,0.2,0.2,0.2
XRP,5/27/20,0.2,0.2,0.19,0.2
XRP,5/26/20,0.2,0.2,0.19,0.2
XRP,5/25/20,0.2,0.2,0.19,0.2
XRP,5/24/20,0.2,0.2,0.19,0.2
XRP,5/23/20,0.2,0.2,0.2,0.2
XRP,5/22/20,0.19,0.2,0.19,0.2
XRP,5/21/20,0.2,0.2,0.19,0.19
XRP,5/20/20,0.2,0.21,0.2,0.2
XRP,5/19/20,0.2,0.21,0.2,0.2
XRP,5/18/20,0.2,0.21,0.2,0.2
XRP,5/17/20,0.2,0.2,0.2,0.2
XRP,5/16/20,0.2,0.2,0.2,0.2
XRP,5/15/20,0.2,0.2,0.2,0.2
XRP,5/14/20,0.2,0.21,0.2,0.2
XRP,5/13/20,0.2,0.2,0.19,0.2
XRP,5/12/20,0.19,0.2,0.19,0.2
XRP,5/11/20,0.2,0.2,0.18,0.19
XRP,5/10/20,0.22,0.22,0.18,0.2
XRP,5/9/20,0.22,0.23,0.22,0.22
XRP,5/8/20,0.22,0.22,0.21,0.22
XRP,5/7/20,0.22,0.22,0.21,0.22
XRP,5/6/20,0.22,0.22,0.22,0.22
XRP,5/5/20,0.22,0.22,0.21,0.22
XRP,5/4/20,0.22,0.22,0.21,0.22
XRP,5/3/20,0.22,0.23,0.22,0.22
XRP,5/2/20,0.22,0.23,0.22,0.22
XRP,5/1/20,0.21,0.22,0.21,0.22
XRP,4/30/20,0.23,0.24,0.21,0.21
XRP,4/29/20,0.21,0.23,0.21,0.23
XRP,4/28/20,0.2,0.21,0.2,0.21
XRP,4/27/20,0.2,0.2,0.19,0.2
XRP,4/26/20,0.19,0.2,0.19,0.2
XRP,4/25/20,0.19,0.2,0.19,0.19
XRP,4/24/20,0.2,0.2,0.19,0.19
XRP,4/23/20,0.19,0.2,0.19,0.2
XRP,4/22/20,0.18,0.19,0.18,0.19
XRP,4/21/20,0.18,0.19,0.18,0.18
XRP,4/20/20,0.19,0.19,0.18,0.18
XRP,4/19/20,0.19,0.2,0.19,0.19
XRP,4/18/20,0.19,0.2,0.19,0.19
XRP,4/17/20,0.19,0.19,0.19,0.19
XRP,4/16/20,0.19,0.19,0.17,0.19
XRP,4/15/20,0.19,0.19,0.18,0.19
XRP,4/14/20,0.19,0.19,0.18,0.19
XRP,4/13/20,0.19,0.19,0.18,0.19
XRP,4/12/20,0.19,0.2,0.19,0.19
XRP,4/11/20,0.19,0.19,0.19,0.19
XRP,4/10/20,0.2,0.2,0.18,0.19
XRP,4/9/20,0.2,0.2,0.19,0.2
XRP,4/8/20,0.19,0.2,0.19,0.2
XRP,4/7/20,0.19,0.21,0.19,0.19
XRP,4/6/20,0.18,0.2,0.18,0.19
XRP,4/5/20,0.18,0.18,0.18,0.18
